activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001403900,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,2,1,4,2,2,2,2,105000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,NA,1,1,3,5,2,NA,288,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,3943,46.49,155700,135,766,774,57
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001403900,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,2,2,2,1,2,105000.0,12.48000,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1225000,1,1,3,5,2,NA,271,20%-<30%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,55-64,9999,No,NA,1,1,6,,,,,4,9,,,3943,46.49,155700,135,766,774,57
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001404600,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,32,2,2,1,2,65000.0,36.63000,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1865000,1,1,3,5,1,NA,168,48,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,4,9,,,4551,35.4,155700,163,1622,1741,55
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001443322,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Male,1,1,2,1,32,1,2,2,1,225000.0,11.28000,6.875,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,1955000,1,3,3,5,1,NA,53,49,1,10,3,,,,,5,,,,,2,4,2,23,,,,8,,,,,2,4,1,5,2,4,>74,9999,Yes,NA,1,1,1,,,,,10,,,,3191,84.24,155700,150,865,989,48
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001444100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,0,2,1,4,2,2,1,2,255000.0,73.12000,9.750,1.540,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1605000,1,1,3,5,1,NA,433,43,2,9,2,,,,,2,,,,,2,2,2,21,,,,2,21,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,7703,71.62,155700,113,2214,2606,52
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001409800,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Joint,4,0,2,1,2,2,2,2,2,85000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,143,NA,9,9,2,,,,,2,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,3220,84.72,155700,83,662,972,72
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001422902,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,32,1,2,2,1,3255000.0,65.00000,6.350,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,2,1,2,5005000,1,3,3,5,5-24,0,NA,NA,2,10,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,3,5,3,4,8888,9999,NA,NA,1,1,6,,,,,10,,,,3033,69.73,155700,0,12,226,40
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001437500,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,1,2,2,2,2,2,225000.0,68.11000,8.500,2.675,2,489.95,NA,395.00,,,240,NA,NA,2,2,2,2,935000,1,1,3,5,1,NA,155,41,2,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,4797,93.18,155700,64,342,588,50
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001450751,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,1,2,1,2,505000.0,67.14000,8.500,0.410,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,2205000,1,1,3,5,1,NA,613,20%-<30%,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,45-54,35-44,No,No,1,1,6,,,,,10,,,,12411,88.33,155700,203,3029,3230,8
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001451601,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,255000.0,56.30000,8.240,0.250,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1715000,1,1,3,5,1,NA,659,20%-<30%,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,55-64,55-64,Yes,Yes,1,1,6,,,,,10,,,,5003,32.3,155700,152,1383,1779,33
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001451704,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,255000.0,67.74000,7.740,0.200,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1485000,1,1,3,5,1,NA,218,30%-<36%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,4572,38.34,155700,121,1273,1498,51
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001425103,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,35000.0,22.58000,7.740,0.200,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,655000,1,1,3,5,1,NA,90,43,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,>74,9999,Yes,NA,1,1,6,,,,,10,,,,2926,62.03,155700,163,426,587,18
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001451202,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,0,1,1,1,1,2,2,1,455000.0,35.00000,6.250,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,1305000,1,3,3,5,1,NA,572,20%-<30%,3,9,2,,,,,2,,,,,2,2,2,21,,,,2,21,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,1,,,,,10,,,,5781,52.52,155700,120,1690,1964,27
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001442800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,2,0,2,1,4,1,2,2,2,765000.0,55.34000,4.625,-0.448,3,NA,NA,NA,NA,NA,360,NA,84,2,2,2,2,1385000,1,1,3,5,1,NA,288,20%-<30%,3,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,2959,76.78,155700,121,781,908,53
2024,549300GAX7IKJUKCJE72,17020,CA,06007,06007000903,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,1,4285000.0,54.00000,6.400,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,1,1,2,8005000,1,3,3,5,25-49,0,NA,NA,7,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,3,4,3,3,8888,8888,NA,NA,1,1,6,,,,,10,,,,7042,39.55,96600,101,831,1533,30
2024,549300GAX7IKJUKCJE72,17020,CA,06007,06007003001,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,1,31,1,2,2,1,85000.0,43.00000,NA,NA,3,NA,NA,NA,NA,NA,180,NA,NA,2,2,2,2,205000,1,3,3,5,1,NA,115,46,2,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,1,1,6,,,,,1,3,,,3141,51.93,96600,45,475,1024,61
2024,549300GAX7IKJUKCJE72,17020,CA,06007,06007003400,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,31,1,2,2,1,1015000.0,53.16000,6.810,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,2,1,2,1905000,1,3,3,5,25-49,0,NA,NA,2,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,3,4,3,3,8888,8888,NA,NA,1,1,6,,,,,10,,,,2921,47.89,96600,119,634,1215,55
2024,549300GAX7IKJUKCJE72,17020,CA,06007,06007003001,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Female,5,0,2,1,31,1,2,2,1,95000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,180,NA,NA,2,2,2,2,NA,1,3,3,5,1,NA,113,NA,9,9,1,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,1,1,1,,,,,10,,,,3141,51.93,96600,45,475,1024,61
2024,549300GAX7IKJUKCJE72,17020,CA,06007,06007003200,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,175000.0,69.47000,9.500,NA,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,695000,1,1,3,5,2,NA,241,44,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,4352,43.91,96600,64,1067,1718,44
2024,549300GAX7IKJUKCJE72,17020,CA,06007,06007003100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,0,2,1,2,2,2,2,2,45000.0,45.23000,8.250,2.604,2,509.90,NA,395.00,,,180,NA,NA,2,2,2,2,605000,1,1,3,5,1,NA,180,30%-<36%,2,9,1,11,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,45-54,No,No,1,1,6,,,,,10,,,,4575,30.45,96600,126,1350,1577,42
2024,549300GAX7IKJUKCJE72,17020,CA,06007,06007002500,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,1,1275000.0,69.29000,6.130,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,2,1,2,1845000,1,3,3,5,5-24,0,NA,NA,2,10,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,3,5,3,4,8888,9999,NA,NA,1,1,6,,,,,10,,,,5008,47.62,96600,54,579,1186,43
2024,549300GAX7IKJUKCJE72,17020,CA,06007,06007002900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,1,1,1,1,2,2,2,255000.0,86.44000,6.125,-0.237,2,4860.40,NA,2895.40,1550.40,,360,NA,NA,2,2,2,2,295000,1,1,3,5,1,NA,76,37,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,1,,,,,10,,,,3315,47.93,96600,62,557,923,51
